Wavenumber	Intensity
605.083	350.5
605.845	344
606.607	321.5
607.369	333.5
608.131	333.5
608.893	311
609.655	318.5
610.416	302.5
611.178	280
611.94	299.5
612.7	290.5
613.461	278.5
614.223	260
614.984	262
615.745	247
616.507	247
617.268	227.5
618.029	223.5
618.789	226.5
619.55	213.5
620.311	214.5
621.072	207
621.833	206
622.592	193
623.353	196.5
624.114	197.5
624.875	185
625.634	188
626.395	176
627.155	183
627.914	185.5
628.675	172.5
629.435	178.5
630.194	169
630.954	169.5
631.715	163.5
632.473	173.5
633.233	167
633.994	166
634.752	165.5
635.512	164.5
636.271	160
637.03	156
637.79	151
638.549	166
639.308	157.5
640.067	151
640.826	152.5
641.584	153.5
642.344	156.5
643.102	158
643.861	154
644.619	146
645.378	153.5
646.136	150.5
646.895	154
647.653	158
648.412	146.5
649.17	148.5
649.927	139
650.686	147
651.444	149.5
652.203	153
652.96	150
653.717	145
654.476	144
655.233	147.5
655.99	146
656.749	147.5
657.506	143.5
658.263	143
659.021	146
659.778	144.5
660.535	143
661.291	145.5
662.049	135
662.806	145
663.563	138
664.319	137
665.077	138.5
665.834	135
666.59	138
667.346	130
668.103	131
668.86	135
669.616	134
670.373	131
671.129	132
671.885	126
672.641	124.5
673.397	133.5
674.152	134.5
674.908	124.5
675.665	130
676.421	133.5
677.177	125
677.932	131
678.688	130
679.443	124
680.199	125
680.954	127.5
681.71	124.5
682.465	119
683.22	120.5
683.975	122.5
684.73	125.5
685.485	121.5
686.241	125
686.994	126
687.749	123.5
688.504	129
689.259	125.5
690.013	122.5
690.768	124
691.523	121
692.277	123.5
693.03	124.5
693.785	124.5
694.539	125.5
695.294	124
696.048	119
696.802	122
697.555	119
698.309	115.5
699.064	119
699.818	114.5
700.57	118
701.324	118
702.078	120.5
702.832	116.5
703.584	116.5
704.338	113.5
705.092	116.5
705.844	126.5
706.598	118
707.351	116
708.103	119.5
708.857	117
709.61	111.5
710.362	115
711.116	111.5
711.867	113.5
712.621	112.5
713.372	114.5
714.125	106.5
714.878	114
715.63	112
716.383	112
717.134	109.5
717.887	110.5
718.639	107
719.391	107.5
720.143	109.5
720.895	110.5
721.646	111
722.399	110.5
723.15	108
723.901	110
724.653	109.5
725.404	109
726.156	114
726.907	111
727.658	111
728.41	106
729.161	105
729.911	103.5
730.663	105
731.414	103
732.164	111
732.916	100.5
733.666	102
734.416	106.5
735.168	110
735.918	108
736.668	106
737.418	107
738.17	113
738.92	102
739.67	105.5
740.419	110.5
741.171	106.5
741.92	106
742.67	102.5
743.42	106
744.169	108
744.919	103
745.668	107
746.419	103
747.169	98
747.918	103.5
748.667	109.5
749.416	111
750.166	109
750.915	106
751.664	98
752.413	102.5
753.162	101
753.911	106
754.66	102
755.408	102.5
756.157	110.5
756.906	103.5
757.655	105.5
758.403	103.5
759.152	100
759.9	106.5
760.649	98
761.397	107.5
762.145	98.5
762.894	100
763.642	107
764.39	101.5
765.137	102
765.885	101
766.633	106.5
767.381	101
768.129	104
768.877	101.5
769.623	107
770.371	107
771.119	103.5
771.866	108.5
772.614	103
773.36	107
774.108	108.5
774.855	104.5
775.603	99.5
776.349	102
777.096	107
777.843	105.5
778.589	96.5
779.336	102.5
780.083	106.5
780.829	105.5
781.576	104.5
782.323	107.5
783.068	107
783.815	104
784.562	105
785.307	97
786.054	95.5
786.799	104.5
787.546	109
788.291	111.5
789.038	99.5
789.783	106.5
790.529	109
791.275	107.5
792.02	106
792.766	107
793.511	109.5
794.256	111
795.002	112
795.747	107
796.493	103
797.237	105.5
797.983	97.5
798.727	99.5
799.472	105
800.218	104.5
800.962	105
801.707	99
802.452	102.5
803.196	103
803.941	107
804.685	105.5
805.429	104.5
806.174	105.5
806.918	108
807.662	101.5
808.406	101
809.151	99
809.895	101
810.638	101.5
811.383	102
812.127	105
812.87	110
813.613	102
814.357	93.5
815.102	105.5
815.845	103
816.588	105
817.331	96
818.074	98.5
818.817	104.5
819.56	104.5
820.305	103
821.047	105.5
821.79	104.5
822.533	105
823.276	97.5
824.018	102
824.761	108
825.504	107.5
826.246	99.5
826.989	98.5
827.731	102
828.473	101.5
829.216	101
829.958	95
830.7	99.5
831.442	101.5
832.185	103.5
832.927	95
833.669	108
834.411	99.5
835.152	100
835.893	99
836.635	100
837.376	97
838.118	100
