triangle_id,A_id,B_id,C_id,scale_factors1_x,scale_factors1_y,scale_factors1_z,A_transformed_x,A_transformed_y,A_transformed_z,B_transformed_x,B_transformed_y,B_transformed_z,C_transformed_x,C_transformed_y,C_transformed_z,ABC_new_A,ABC_new_B,ABC_new_C,ABC_new_D,ABC_new_E,ABC_new_F,ABC_new_G,ABC_new_H,ABC_new_I,ABC_new_J,Ax,Ay,Az,Bx,By,Bz,Cx,Cy,Cz,ABC_A,ABC_B,ABC_C,ABC_D,ABC_E,ABC_F,ABC_G,ABC_H,ABC_I,ABC_J
10,0,7,10,1.5,1,0.8,-0.525731112119,0.850650808352,0,0,0.525731112119,-0.850650808352,-0.850650808352,0,-0.525731112119,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,0.850650808352,0,0,0.525731112119,-0.680520646682,-1.27597621253,0,-0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
11,1,7,8,1.5,1,0.8,0.525731112119,0.850650808352,0,0,0.525731112119,-0.850650808352,0.850650808352,0,-0.525731112119,1,1,1,0,0,0,0,0,0,-1,0.788596668179,0.850650808352,0,0,0.525731112119,-0.680520646682,1.27597621253,0,-0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
12,1,8,9,1.5,1,0.8,0.525731112119,0.850650808352,0,0.850650808352,0,-0.525731112119,0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,0.788596668179,0.850650808352,0,1.27597621253,0,-0.420584889695,1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
13,3,8,9,1.5,1,0.8,0.525731112119,-0.850650808352,0,0.850650808352,0,-0.525731112119,0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,0.788596668179,-0.850650808352,0,1.27597621253,0,-0.420584889695,1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
14,0,10,11,1.5,1,0.8,-0.525731112119,0.850650808352,0,-0.850650808352,0,-0.525731112119,-0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,0.850650808352,0,-1.27597621253,0,-0.420584889695,-1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
15,2,10,11,1.5,1,0.8,-0.525731112119,-0.850650808352,0,-0.850650808352,0,-0.525731112119,-0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,-0.850650808352,0,-1.27597621253,0,-0.420584889695,-1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
16,0,1,5,1.5,1,0.8,-0.525731112119,0.850650808352,0,0.525731112119,0.850650808352,0,0,0.525731112119,0.850650808352,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,0.850650808352,0,0.788596668179,0.850650808352,0,0,0.525731112119,0.680520646682,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
17,0,1,7,1.5,1,0.8,-0.525731112119,0.850650808352,0,0.525731112119,0.850650808352,0,0,0.525731112119,-0.850650808352,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,0.850650808352,0,0.788596668179,0.850650808352,0,0,0.525731112119,-0.680520646682,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
18,2,3,4,1.5,1,0.8,-0.525731112119,-0.850650808352,0,0.525731112119,-0.850650808352,0,0,-0.525731112119,0.850650808352,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,-0.850650808352,0,0.788596668179,-0.850650808352,0,0,-0.525731112119,0.680520646682,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
19,2,3,6,1.5,1,0.8,-0.525731112119,-0.850650808352,0,0.525731112119,-0.850650808352,0,0,-0.525731112119,-0.850650808352,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,-0.850650808352,0,0.788596668179,-0.850650808352,0,0,-0.525731112119,-0.680520646682,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
